datetime,upper_band,middle_band,lower_band,open,high,low,close,volume
2023-04-26 11:01:00,211.79107,211.40605,211.02103,211.25500,211.75000,211.25500,211.62000,49015
2023-04-26 11:00:00,211.77056,211.38205,210.99354,211.10500,211.25500,211.06000,211.21111,39681
2023-04-26 10:59:00,211.76925,211.38747,211.00569,211.36749,211.48000,211.08980,211.10500,48012
2023-04-26 10:58:00,211.75908,211.39772,211.03637,211.28000,211.42999,211.22000,211.39000,53451
2023-04-26 10:57:00,211.76722,211.38322,210.99923,211.48000,211.58000,211.26500,211.26500,50043
2023-04-26 10:56:00,211.78336,211.37117,210.95898,211.33501,211.50000,211.31000,211.46500,34803
2023-04-26 10:55:00,211.77387,211.36292,210.95197,211.52010,211.59000,211.31000,211.33501,38295
2023-04-26 10:54:00,211.77243,211.35917,210.94591,211.64999,211.81000,211.46001,211.52499,49707
2023-04-26 10:53:00,211.75898,211.35242,210.94586,211.77499,211.77499,211.58000,211.67000,40271
2023-04-26 10:52:00,211.72939,211.34362,210.95785,211.72900,211.92990,211.71001,211.77000,60848
2023-04-26 10:51:00,211.69498,211.33654,210.97810,211.28999,211.71001,211.28999,211.67999,35940
2023-04-26 10:50:00,211.64327,211.30754,210.97181,211.62000,211.74001,211.29089,211.29089,60165
2023-04-26 10:49:00,211.64527,211.30950,210.97372,211.44020,211.63989,211.41150,211.62000,46159
2023-04-26 10:48:00,211.59877,211.29450,210.99022,211.23000,211.42999,211.08501,211.42000,44064
2023-04-26 10:47:00,211.58971,211.27750,210.96528,211.10001,211.31039,211.05000,211.28000,42765
2023-04-26 10:46:00,211.64665,211.24914,210.85163,211.42000,211.42000,211.06000,211.06000,27801
2023-04-26 10:45:00,211.65053,211.24589,210.84125,211.20000,211.46001,211.09010,211.46001,36253
2023-04-26 10:44:00,211.65309,211.21139,210.76969,211.25999,211.34000,211.19901,211.19901,42891
2023-04-26 10:43:00,211.68130,211.18644,210.69158,211.37000,211.59000,211.33000,211.42500,61048
2023-04-26 10:42:00,211.67763,211.14919,210.62075,211.14000,211.35001,210.99001,211.33000,46564
2023-04-26 10:41:00,211.66071,211.12669,210.59267,211.30499,211.45000,211.14000,211.14000,46284
2023-04-26 10:40:00,211.65833,211.11369,210.56905,211.28999,211.31960,211.00999,211.31960,66159
2023-04-26 10:39:00,211.64651,211.10815,210.56978,211.14000,211.31000,211.07001,211.31000,66991
2023-04-26 10:38:00,211.62450,211.09190,210.55930,211.06000,211.14000,210.94000,211.10001,36626
2023-04-26 10:37:00,211.62450,211.09190,210.55930,211.28999,211.30000,210.89999,211.02390,60267
2023-04-26 10:36:00,211.64863,211.10721,210.56578,211.28500,211.43990,211.27000,211.30000,37408
2023-04-26 10:35:00,211.68576,211.11885,210.55193,211.39000,211.53000,211.21001,211.25999,55781
2023-04-26 10:34:00,211.78918,211.14685,210.50451,211.48000,211.50999,211.31000,211.39000,46355
2023-04-26 10:33:00,211.97842,211.18835,210.39828,211.63000,211.70000,211.48000,211.49400,56043
2023-04-26 10:32:00,212.18954,211.23565,210.28176,211.11000,211.69901,211.08000,211.62840,77374
2023-04-26 10:31:00,212.35687,211.27668,210.19649,211.31000,211.51990,211.10001,211.10001,74723
2023-04-26 10:30:00,212.64748,211.36568,210.08388,211.31000,211.47990,211.25999,211.33000,59565
2023-04-26 10:29:00,212.85062,211.43618,210.02175,211.06000,211.38000,211.03999,211.32001,83739
2023-04-26 10:28:00,213.06946,211.51618,209.96290,210.73801,211.08000,210.58000,211.08000,63230
2023-04-26 10:27:00,213.24927,211.60510,209.96093,211.00000,211.24001,210.69000,210.71291,103037
2023-04-26 10:26:00,213.40104,211.71546,210.02988,210.77991,211.05000,210.73010,210.99500,96684
2023-04-26 10:25:00,213.61042,211.82946,210.04850,210.67999,210.81990,210.51010,210.77000,79655
